company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
ABB,2012-12,Positive,Negative,Negative,Reinvestor
ABB,2014-03,Zero,Zero,Zero,Mixed
ABB,2015-03,Negative,Negative,Positive,Growth Funded by Debt
ABB,2016-03,Positive,Negative,Negative,Reinvestor
ABB,2017-03,Positive,Negative,Negative,Reinvestor
ABB,2018-03,Positive,Negative,Positive,Mixed
ABB,2019-03,Positive,Negative,Positive,Mixed
ABB,2020-03,Positive,Negative,Positive,Mixed
ABB,2021-03,Positive,Negative,Negative,Reinvestor
ABB,2022-03,Positive,Negative,Negative,Reinvestor
ABB,2023-03,Positive,Negative,Positive,Mixed
ABB,2024-03,Positive,Negative,Negative,Reinvestor
ADANIENSOL,2014-03,Zero,Zero,Zero,Mixed
ADANIENSOL,2015-03,Negative,Negative,Positive,Growth Funded by Debt
ADANIENSOL,2016-03,Positive,Negative,Negative,Reinvestor
ADANIENSOL,2017-03,Positive,Negative,Negative,Reinvestor
ADANIENSOL,2018-03,Positive,Negative,Positive,Mixed
ADANIENSOL,2019-03,Positive,Negative,Positive,Mixed
ADANIENSOL,2020-03,Positive,Negative,Positive,Mixed
ADANIENSOL,2021-03,Positive,Negative,Negative,Reinvestor
ADANIENSOL,2022-03,Positive,Negative,Negative,Reinvestor
ADANIENSOL,2023-03,Positive,Negative,Positive,Mixed
ADANIENSOL,2024-03,Positive,Negative,Negative,Reinvestor
ADANIENT,2013-03,Positive,Negative,Positive,Mixed
ADANIENT,2014-03,Positive,Negative,Negative,Reinvestor
ADANIENT,2015-03,Positive,Negative,Positive,Mixed
ADANIENT,2016-03,Positive,Negative,Negative,Reinvestor
ADANIENT,2017-03,Positive,Negative,Positive,Mixed
ADANIENT,2018-03,Positive,Negative,Positive,Mixed
ADANIENT,2019-03,Positive,Positive,Negative,Liquidating Assets
ADANIENT,2020-03,Positive,Negative,Negative,Reinvestor
ADANIENT,2021-03,Positive,Negative,Positive,Mixed
ADANIENT,2022-03,Positive,Negative,Positive,Mixed
