table,rows_in,rows_out,rejected,runtime_sec,status
companies,92,92,0,0.4350411891937256,SUCCESS
profitandloss,1276,1260,0,0.4287686347961426,SUCCESS
balancesheet,1312,1225,0,0.3903031349182129,SUCCESS
cashflow,1187,1152,0,0.25300121307373047,SUCCESS
analysis,20,20,0,0.04564213752746582,SUCCESS
documents,1585,1584,0,0.22377252578735352,SUCCESS
prosandcons,16,16,0,0.038925886154174805,SUCCESS
sectors,92,92,0,0.04887962341308594,SUCCESS
stock_prices,5520,5520,0,1.0467431545257568,SUCCESS
market_cap,552,552,0,0.1392533779144287,SUCCESS
financial_ratios,1184,1065,0,0.38277506828308105,SUCCESS
peer_groups,56,56,0,0.04180455207824707,SUCCESS
